Estado,Municipio,Bairro,Produto,Data da Coleta,Valor de Venda,Unidade de Medida,5%,8%,10%
SP,AVARE,CIDADE,GASOLINA,2022-07-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,AVARE,CENTRO,GASOLINA,2022-07-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,AVARE,SAO JUDAS TADEU,GASOLINA,2022-07-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,AVARE,CENTRO,GASOLINA,2022-07-04,6.97,R$ / litro,0.34850000000000003,0.5576,0.6970000000000001
SP,BAURU,VILA SOUTO,GASOLINA,2022-06-04,6.69,R$ / litro,0.3345,0.5352,0.669
SP,BAURU,JARDIM DA GRAMA,GASOLINA,2022-06-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,BAURU,JARDIM BELA VISTA,GASOLINA,2022-05-04,6.15,R$ / litro,0.30750000000000005,0.49200000000000005,0.6150000000000001
SP,BAURU,CENTRO,GASOLINA,2022-06-04,6.359,R$ / litro,0.31795,0.5087200000000001,0.6359
SP,BAURU,JD.SANTANA,GASOLINA,2022-07-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,BAURU,VILA FALCAO,GASOLINA,2022-07-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,BAURU,JARDIM PRUDENTE,GASOLINA,2022-06-04,6.379,R$ / litro,0.31895,0.51032,0.6379
SP,BAURU,VILA SANTO ANTONIO,GASOLINA,2022-05-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,BAURU,VILA SANTO ANTONIO,GASOLINA,2022-05-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,BAURU,CENTRO,GASOLINA,2022-05-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,BAURU,VILA PACIFICO,GASOLINA,2022-06-04,6.479,R$ / litro,0.32395,0.51832,0.6479
SP,BAURU,PARQUE BELA VISTA,GASOLINA,2022-05-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,BAURU,CENTRO,GASOLINA,2022-05-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,BAURU,PARQUE VISTA ALEGRE,GASOLINA,2022-07-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,BAURU,VILA FALCAO,GASOLINA,2022-06-04,6.599,R$ / litro,0.32995,0.5279200000000001,0.6599
SP,CACAPAVA,SANTA LUZIA,GASOLINA,2022-07-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,CACAPAVA,VILA ANTONIO A. LUIZ,GASOLINA,2022-07-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,CACAPAVA,VILA SANTOS,GASOLINA,2022-07-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,CACAPAVA,VILA PANTALEAO,GASOLINA,2022-07-04,6.989,R$ / litro,0.34945000000000004,0.55912,0.6989000000000001
SP,UBATUBA,JARDIM CAROLINA,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,CARAGUATATUBA,INDAIA,GASOLINA,2022-04-04,7.099,R$ / litro,0.35495000000000004,0.56792,0.7099000000000001
SP,CARAGUATATUBA,CENTRO,GASOLINA,2022-06-04,7.099,R$ / litro,0.35495000000000004,0.56792,0.7099000000000001
SP,CARAGUATATUBA,PONTA SANTA MARINA,GASOLINA,2022-05-04,7.094,R$ / litro,0.3547,0.56752,0.7094
SP,CARAGUATATUBA,CENTRO,GASOLINA,2022-04-04,7.099,R$ / litro,0.35495000000000004,0.56792,0.7099000000000001
SP,CATANDUVA,PARQUE GLORIA I,GASOLINA,2022-04-04,6.849,R$ / litro,0.34245000000000003,0.5479200000000001,0.6849000000000001
SP,CATANDUVA,VILA AMENDOLA,GASOLINA,2022-04-04,7.359,R$ / litro,0.36795,0.58872,0.7359
SP,CATANDUVA,VILA MOTTA,GASOLINA,2022-04-04,6.95,R$ / litro,0.34750000000000003,0.556,0.6950000000000001
SP,CATANDUVA,CENTRO,GASOLINA,2022-04-04,6.849,R$ / litro,0.34245000000000003,0.5479200000000001,0.6849000000000001
SP,CATANDUVA,PARQUE IRACEMA,GASOLINA,2022-04-04,6.799,R$ / litro,0.33995000000000003,0.5439200000000001,0.6799000000000001
SP,CATANDUVA,CENTRO,GASOLINA,2022-04-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,CATANDUVA,CENTRO,GASOLINA,2022-04-04,6.689,R$ / litro,0.33445,0.53512,0.6689
SP,CATANDUVA,VILA JUCA PEDRO,GASOLINA,2022-04-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,CATANDUVA,CENTRO,GASOLINA,2022-04-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,CATANDUVA,HIGIENOPOLIS,GASOLINA,2022-04-04,6.888,R$ / litro,0.34440000000000004,0.55104,0.6888000000000001
SP,COSMOPOLIS,JARDIM BELA VISTA,GASOLINA,2022-07-04,6.749,R$ / litro,0.33745,0.53992,0.6749
SP,COSMOPOLIS,BELA VISTA,GASOLINA,2022-07-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,COSMOPOLIS,JARDIM BELA VISTA,GASOLINA,2022-07-04,6.999,R$ / litro,0.34995,0.55992,0.6999
SP,COSMOPOLIS,BELA VISTA,GASOLINA,2022-07-04,6.64,R$ / litro,0.332,0.5312,0.664
SP,COSMOPOLIS,CENTRO,GASOLINA,2022-07-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,COTIA,PQ SAO GEORGE,GASOLINA,2022-06-04,6.699,R$ / litro,0.33495,0.53592,0.6699
SP,COTIA,MOINHO VELHO,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,COTIA,CHACARA DO REFUGIO,GASOLINA,2022-06-04,6.899,R$ / litro,0.34495000000000003,0.55192,0.6899000000000001
SP,COTIA,JARDIM DA GLÓRIA,GASOLINA,2022-06-04,6.988,R$ / litro,0.34940000000000004,0.5590400000000001,0.6988000000000001
SP,COTIA,JARDIM SAO VICENTE,GASOLINA,2022-06-04,6.698,R$ / litro,0.33490000000000003,0.5358400000000001,0.6698000000000001
